id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality
16422,recessa,recessa,𐌓𐌄𐌂𐌄𐌔𐌔𐌀,recessa,recessa,,,1.000,clean
16430,lv,lv,𐌋𐌅,lv,,,,1.000,clean
16431,ravnthu(s) ril,ravnθu(s) ril,𐌓𐌀𐌅𐌍𐌈𐌖(𐌔) 𐌓𐌉𐌋,ril,,,,0.500,clean
16433,l(ibertvs),l(ibertvs),𐌋(𐌉𐌁𐌄𐌓𐌕𐌅𐌔),,mr-marcusaeteius--ms-caiasfreedman--,,,0.000,clean
16451,c(aii),c(aii),𐌂(𐌀𐌉𐌉),,cqvintivsc,,,0.000,clean
16455,spvrinnia,spvrinnia,𐌔𐌐𐌅𐌓𐌉𐌍𐌍𐌉𐌀,spvrinnia,ms-spurinnia,,,1.000,clean
16460,domatia,domatia,𐌃𐌏𐌌𐌀𐌕𐌉𐌀,domatia,ms-domatia,,,1.000,clean
16467,comavia,comavia,𐌂𐌏𐌌𐌀𐌅𐌉𐌀,comavia,felicula,,,1.000,clean
16469,ravnthu(s),ravnθu(s),𐌓𐌀𐌅𐌍𐌈𐌖(𐌔),,mr-vipinanei,,,0.000,clean
16471,savras,savras,𐌔𐌀𐌅𐌓𐌀𐌔,savras,,,,1.000,clean
16474,arntles,arntles,𐌀𐌓𐌍𐌕𐌋𐌄𐌔,arntles,mrs-titishe-livedforyears,,,1.000,clean
16476,a(nnos),a(nnos),𐌀(𐌍𐌍𐌏𐌔),,mr-aulusssonhelivedfor-years,,,0.000,clean
16478,larth(i)alisa,larθ(i)alisa,𐌋𐌀𐌓𐌈(𐌉)𐌀𐌋𐌉𐌔𐌀,,mrs-larthis-sons-wife,,,0.000,clean
16482,v----a---lx,v----a---lx,𐌅----𐌀---𐌋𐌗,,,,,0.000,clean
16484,aprithnas,apriθnas,𐌀𐌐𐌓𐌉𐌈𐌍𐌀𐌔,apriθnas,of-mraprithna,,,1.000,clean
16485,ramtha(s),ramθa(s),𐌓𐌀𐌌𐌈𐌀(𐌔),,ms-petrui,,,0.000,clean
15681,riri,riri,𐌓𐌉𐌓𐌉,riri,ms-ramthismrsramthis,,,1.000,clean
16486,custavial clen(u)s,custavial clen(u)s,𐌂𐌖𐌔𐌕𐌀𐌅𐌉𐌀𐌋 𐌂𐌋𐌄𐌍(𐌖)𐌔,custavial,,,,0.500,clean
16534,broccevs,broccevs,𐌁𐌓𐌏𐌂𐌂𐌄𐌅𐌔,broccevs,,,,1.000,clean
16535,olsad(i)i,olsad(i)i,𐌏𐌋𐌔𐌀𐌃(𐌉)𐌉,,of-mr-aulus,,,0.000,clean
16679,recial,recial,𐌓𐌄𐌂𐌉𐌀𐌋,recial,thegoddessvenus,,,1.000,clean
16600,thaleiviaimakrake,θaleiviaimakrake,𐌈𐌀𐌋𐌄𐌉𐌅𐌉𐌀𐌉𐌌𐌀𐌊𐌓𐌀𐌊𐌄,θaleiviaimakrake,mr-thanaleiviaimathe-greek,,,1.000,clean
16605,vecheti auraei(al) achn(us),veχeti auraei(al) aχn(us),𐌅𐌄𐌙𐌄𐌕𐌉 𐌀𐌖𐌓𐌀𐌄𐌉(𐌀𐌋) 𐌀𐌙𐌍(𐌖𐌔),veχeti,,,,0.333,clean
16606,v(a)riau,v(a)riau,𐌅(𐌀)𐌓𐌉𐌀𐌖,,,,,0.000,clean
16612,tthaelbarpnab,tθaelbarpnab,𐌕𐌈𐌀𐌄𐌋𐌁𐌀𐌓𐌐𐌍𐌀𐌁,tθaelbarpnab,abbthnarfnia,,,1.000,clean
16616,plece,plece,𐌐𐌋𐌄𐌂𐌄,plece,,,,1.000,clean
16617,ferintie,ferintie,𐌚𐌄𐌓𐌉𐌍𐌕𐌉𐌄,ferintie,ferinties,,,1.000,clean
16618,melakre,melakre,𐌌𐌄𐌋𐌀𐌊𐌓𐌄,melakre,thegodcastor,,,1.000,clean
16619,suthina,suθina,𐌔𐌖𐌈𐌉𐌍𐌀,suθina,,,,1.000,clean
16622,aithra,aiθra,𐌀𐌉𐌈𐌓𐌀,aiθra,menelaos,,,1.000,clean
16626,nevtlane,nevtlane,𐌍𐌄𐌅𐌕𐌋𐌀𐌍𐌄,nevtlane,,,,1.000,clean
16634,polovces,polovces,𐌐𐌏𐌋𐌏𐌅𐌂𐌄𐌔,polovces,thegodpollux,,,1.000,clean
16636,vanth,vanθ,𐌅𐌀𐌍𐌈,vanθ,orestes,,,1.000,clean
16638,menrva,menrva,𐌌𐌄𐌍𐌓𐌅𐌀,menrva,,,,1.000,clean
16650,fulnice,fulnice,𐌚𐌖𐌋𐌍𐌉𐌂𐌄,fulnice,eteocles,,,1.000,clean
16651,aercet,aercet,𐌀𐌄𐌓𐌂𐌄𐌕,aercet,,,,1.000,clean
16655,menerea,menerea,𐌌𐌄𐌍𐌄𐌓𐌄𐌀,menerea,thegoddessminerva,,,1.000,clean
16657,thethisi,θeθisi,𐌈𐌄𐌈𐌉𐌔𐌉,θeθisi,thegoddessthethis,,,1.000,clean
16658,mlacuch,mlacuχ,𐌌𐌋𐌀𐌂𐌖𐌙,mlacuχ,theherohercules,,,1.000,clean
16659,ferkole,ferkole,𐌚𐌄𐌓𐌊𐌏𐌋𐌄,ferkole,thegoddessminerva,,,1.000,clean
16662,thesan,θesan,𐌈𐌄𐌔𐌀𐌍,θesan,,,,1.000,clean
16665,clutmsta,clutmsta,𐌂𐌋𐌖𐌕𐌌𐌔𐌕𐌀,clutmsta,theheroulysses,,,1.000,clean
16666,thanr,θanr,𐌈𐌀𐌍𐌓,θanr,thegoddessyouth,,,1.000,clean
16684,{l}<u>maile,{l}<u>maile,{𐌋}<𐌖>𐌌𐌀𐌉𐌋𐌄,,alcestis,,,0.000,clean
16685,st(eprnies),st(eprnies),𐌔𐌕(𐌄𐌐𐌓𐌍𐌉𐌄𐌔),,,,,0.000,clean
16690,suthina,suθina,𐌔𐌖𐌈𐌉𐌍𐌀,suθina,,,,1.000,clean
16694,v(etl),v(etl),𐌅(𐌄𐌕𐌋),,,,,0.000,clean
16696,pupl(un)a,pupl(un)a,𐌐𐌖𐌐𐌋(𐌖𐌍)𐌀,,the-town-of-populonia,,,0.000,clean
16699,--upluna,--upluna,--𐌖𐌐𐌋𐌖𐌍𐌀,,the-town-of-populonia,,,0.000,clean
16701,puplu(na),puplu(na),𐌐𐌖𐌐𐌋𐌖(𐌍𐌀),,the-town-of-populonia,,,0.000,clean
16770,ep(i){e}<u>r,ep(i){e}<u>r,𐌄𐌐(𐌉){𐌄}<𐌖>𐌓,,,,,0.000,clean
16776,--pu,--pu,--𐌐𐌖,,,,,0.000,clean
16779,vacnith(i)al,vacniθ(i)al,𐌅𐌀𐌂𐌍𐌉𐌈(𐌉)𐌀𐌋,,,,,0.000,clean
16782,cresmie,cresmie,𐌂𐌓𐌄𐌔𐌌𐌉𐌄,cresmie,,,,1.000,clean
16796,puria,puria,𐌐𐌖𐌓𐌉𐌀,puria,perhapstheherdsmanperhapsnamedpuria,,,1.000,clean
16800,tarchnas,tarχnas,𐌕𐌀𐌓𐌙𐌍𐌀𐌔,tarχnas,,,,1.000,clean
16810,as,as,𐌀𐌔,as,satnas,,,1.000,clean
16812,mantheate,manθeate,𐌌𐌀𐌍𐌈𐌄𐌀𐌕𐌄,manθeate,,,,1.000,clean
16815,larcivechane,larciveχane,𐌋𐌀𐌓𐌂𐌉𐌅𐌄𐌙𐌀𐌍𐌄,larciveχane,,,,1.000,clean
16816,ciantipretelial,ciantipretelial,𐌂𐌉𐌀𐌍𐌕𐌉𐌐𐌓𐌄𐌕𐌄𐌋𐌉𐌀𐌋,ciantipretelial,,,,1.000,clean
16838,aripa,aripa,𐌀𐌓𐌉𐌐𐌀,aripa,,,,1.000,clean
16839,arika,arika,𐌀𐌓𐌉𐌊𐌀,arika,,,,1.000,clean
16840,el,el,𐌄𐌋,el,,,,1.000,clean
16865,sp(ur)i,sp(ur)i,𐌔𐌐(𐌖𐌓)𐌉,,,,,0.000,clean
16866,ch(ae)s,χ(ae)s,𐌙(𐌀𐌄)𐌔,,mr-chaes,,,0.000,clean
16877,ap(ie),ap(ie),𐌀𐌐(𐌉𐌄),,,,,0.000,clean
16890,z(elc)u,z(elc)u,𐌆(𐌄𐌋𐌂)𐌖,,,,,0.000,clean
16897,vaatii,vaatii,𐌅𐌀𐌀𐌕𐌉𐌉,vaatii,,,,1.000,clean
16898,euael,euael,𐌄𐌖𐌀𐌄𐌋,euael,,,,1.000,clean
16899,ti{p}pe,ti{p}pe,𐌕𐌉{𐌐}𐌐𐌄,,,,,0.000,clean
16934,tu{s}<r>an,tu{s}<r>an,𐌕𐌖{𐌔}<𐌓>𐌀𐌍,,thegoddessminerva,,,0.000,clean
1697,faltuni(e)s,faltuni(e)s,𐌚𐌀𐌋𐌕𐌖𐌍𐌉(𐌄)𐌔,,mrs-ancaris,,,0.000,clean
17014,ferchle,ferχle,𐌚𐌄𐌓𐌙𐌋𐌄,ferχle,meneructh,,,1.000,clean
17015,alixentrom,alixentrom,𐌀𐌋𐌉𐌗𐌄𐌍𐌕𐌓𐌏𐌌,alixentrom,thegodmercury,,,1.000,clean
17017,menarva,menarva,𐌌𐌄𐌍𐌀𐌓𐌅𐌀,menarva,,,,1.000,clean
17028,achlae,aχlae,𐌀𐌙𐌋𐌀𐌄,aχlae,therivergodakheloios,,,1.000,clean
17039,cletithe,cletiθe,𐌂𐌋𐌄𐌕𐌉𐌈𐌄,cletiθe,theherodiomedes,,,1.000,clean
17042,atlnta,atlnta,𐌀𐌕𐌋𐌍𐌕𐌀,atlnta,atalanta,,,1.000,clean
17043,easun,easun,𐌄𐌀𐌔𐌖𐌍,easun,,,,1.000,clean
17045,elineei,elineei,𐌄𐌋𐌉𐌍𐌄𐌄𐌉,elineei,,,,1.000,clean
17047,alaiva,alaiva,𐌀𐌋𐌀𐌉𐌅𐌀,alaiva,theseagodtriton,,,1.000,clean
1705,l(ar)th larce(s),l(ar)θ larce(s),𐌋(𐌀𐌓)𐌈 𐌋𐌀𐌓𐌂𐌄(𐌔),,,,,0.000,clean
17050,s(ethra),s(eθra),𐌔(𐌄𐌈𐌓𐌀),,,,,0.000,clean
17053,fipece,fipece,𐌚𐌉𐌐𐌄𐌂𐌄,fipece,,,,1.000,clean
17054,fercele,fercele,𐌚𐌄𐌓𐌂𐌄𐌋𐌄,fercele,,,,1.000,clean
17058,evas,evas,𐌄𐌅𐌀𐌔,evas,thegoddessdawns,,,1.000,clean
17073,tarntharcna,tarnθarcna,𐌕𐌀𐌓𐌍𐌈𐌀𐌓𐌂𐌍𐌀,tarnθarcna,tarntharcna,,,1.000,clean
CIE 18.B.11,ЭOASЭZЭAS Fa.,eOASeZeAS Fa.,𐌄𐌏𐌀𐌔𐌄𐌆𐌄𐌀𐌔 𐌚𐌀.,eOASeZeAS Fa.,,,,1.000,clean
17074,pecse,pecse,𐌐𐌄𐌂𐌔𐌄,pecse,,,,1.000,clean
17080,icurcsiu,icurcsiu,𐌉𐌂𐌖𐌓𐌂𐌔𐌉𐌖,icurcsiu,,,,1.000,clean
17088,lisa,lisa,𐌋𐌉𐌔𐌀,lisa,mr-ene,,,1.000,clean
17089,----manuithanchviu,----manuiθanχviu,----𐌌𐌀𐌍𐌖𐌉𐌈𐌀𐌍𐌙𐌅𐌉𐌖,,,,,0.000,clean
17090,iv,iv,𐌉𐌅,iv,,,,1.000,clean
17093,ka,ka,𐌊𐌀,ka,mr-ka,,,1.000,clean
17094,ic,ic,𐌉𐌂,ic,,,,1.000,clean
17095,cik,cik,𐌂𐌉𐌊,cik,,,,1.000,clean
1714,serturn(i)al,serturn(i)al,𐌔𐌄𐌓𐌕𐌖𐌓𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
17152,losna,losna,𐌋𐌏𐌔𐌍𐌀,losna,thegodpollux,,,1.000,clean
17153,marsvas,marsvas,𐌌𐌀𐌓𐌔𐌅𐌀𐌔,marsvas,thesatyrmarsyas,,,1.000,clean
17154,<apulu>,<apulu>,<𐌀𐌐𐌖𐌋𐌖>,,thegoddesssemele,,,0.000,clean
17155,ar(vntis),ar(vntis),𐌀𐌓(𐌅𐌍𐌕𐌉𐌔),,,,,0.000,clean
17157,tondo{f}<r>os,tondo{f}<r>os,𐌕𐌏𐌍𐌃𐌏{𐌚}<𐌓>𐌏𐌔,,,,,0.000,clean
17159,d(e),d(e),𐌃(𐌄),,of-magliano-in-toscana,,,0.000,clean
17219,(protomes,(protomes,(𐌐𐌓𐌏𐌕𐌏𐌌𐌄𐌔,,,,,0.000,clean
17339,kappano,kappano,𐌊𐌀𐌐𐌐𐌀𐌍𐌏,kappano,campanian,,,1.000,clean
17228,velaimes staties kduiuo,velaimes staties kduiuo,𐌅𐌄𐌋𐌀𐌉𐌌𐌄𐌔 𐌔𐌕𐌀𐌕𐌉𐌄𐌔 𐌊𐌃𐌖𐌉𐌖𐌏,velaimes staties kduiuo,oromiorkesiepetenthisecusinfraeliomrufrasimpoiouefa,,,1.000,clean
17229,------imeh lufaniom arkren,------imeh lufaniom arkren,------𐌉𐌌𐌄𐌇 𐌋𐌖𐌚𐌀𐌍𐌉𐌏𐌌 𐌀𐌓𐌊𐌓𐌄𐌍,lufaniom arkren,------imehlufaniom,,,0.667,clean
17231,ecwnlii,ecvnlii,𐌄𐌂𐌅𐌍𐌋𐌉𐌉,ecvnlii,,,,1.000,clean
17253,castv{d},castv{d},𐌂𐌀𐌔𐌕𐌅{𐌃},,------------it--t,,,0.000,clean
17259,condetios,condetios,𐌂𐌏𐌍𐌃𐌄𐌕𐌉𐌏𐌔,condetios,mr-publioscondetiosmr-,,,1.000,clean
17260,alternei,alternei,𐌀𐌋𐌕𐌄𐌓𐌍𐌄𐌉,alternei,the-gods-of-the-cropperone-,,,1.000,clean
17261,olpem,olpem,𐌏𐌋𐌐𐌄𐌌,olpem,-oil-flask,,,1.000,clean
17262,----------cnatois,----------cnatois,----------𐌂𐌍𐌀𐌕𐌏𐌉𐌔,,,,,0.000,clean
17263,p(vblis) clodis c(ai),p(vblis) clodis c(ai),𐌐(𐌅𐌁𐌋𐌉𐌔) 𐌂𐌋𐌏𐌃𐌉𐌔 𐌂(𐌀𐌉),clodis,,,,0.333,clean
17267,esmen,esmen,𐌄𐌔𐌌𐌄𐌍,esmen,hic,,,1.000,clean
17268,--a------------------------s,--a------------------------s,--𐌀------------------------𐌔,,titiorvm,,,0.000,clean
17269,a--siesesum,a--siesesum,𐌀--𐌔𐌉𐌄𐌔𐌄𐌔𐌖𐌌,,,,,0.000,clean
17270,tistrui,tistrui,𐌕𐌉𐌔𐌕𐌓𐌖𐌉,tistrui,sidomsabinvshiceselsitte,,,1.000,clean
17271,nerf,nerf,𐌍𐌄𐌓𐌚,nerf,nerfpe,,,1.000,clean
17310,melerpanta,melerpanta,𐌌𐌄𐌋𐌄𐌓𐌐𐌀𐌍𐌕𐌀,melerpanta,oenomauskingofpisaingreece,,,1.000,clean
17312,avlena,avlena,𐌀𐌅𐌋𐌄𐌍𐌀,avlena,onebreasttheamazonian,,,1.000,clean
17323,hereklei,hereklei,𐌇𐌄𐌓𐌄𐌊𐌋𐌄𐌉,hereklei,to-the-hero-hercules,,,1.000,clean
17326,feli(x),feli(x),𐌚𐌄𐌋𐌉(𐌗),,the-fortunatesenate-houseof-thefull-brothers-and-sisters,,,0.000,clean
17327,zirdu,zirdu,𐌆𐌉𐌓𐌃𐌖,zirdu,ex----pagth--andthnethpap,,,1.000,clean
17328,veliternorvm,veliternorvm,𐌅𐌄𐌋𐌉𐌕𐌄𐌓𐌍𐌏𐌓𐌅𐌌,veliternorvm,,,,1.000,clean
17334,erinyo,erinyo,,erinyo,to-the-male-fury,,,1.000,clean
17335,novesede,novesede,𐌍𐌏𐌅𐌄𐌔𐌄𐌃𐌄,novesede,the- -god,,,1.000,clean
17340,campanosom,campanosom,𐌂𐌀𐌌𐌐𐌀𐌍𐌏𐌔𐌏𐌌,campanosom,campanian,,,1.000,clean
17349,probom,probom,𐌐𐌓𐌏𐌁𐌏𐌌,probom,verified-legal-tender,,,1.000,clean
17350,p{k}<r>obom,p{k}<r>obom,𐌐{𐌊}<𐌓>𐌏𐌁𐌏𐌌,,verified-legal-tender,,,0.000,clean
17352,prorom,prorom,𐌐𐌓𐌏𐌓𐌏𐌌,prorom,verified-legal-tender,,,1.000,clean
17355,pikeovm,pikeovm,𐌐𐌉𐌊𐌄𐌏𐌅𐌌,pikeovm,verified-legal-tender,,,1.000,clean
17359,svesan(om),svesan(om),𐌔𐌅𐌄𐌔𐌀𐌍(𐌏𐌌),,,,,0.000,clean
1744,auriasa,auriasa,𐌀𐌖𐌓𐌉𐌀𐌔𐌀,auriasa,,,,1.000,clean
1747,veliza,veliza,𐌅𐌄𐌋𐌉𐌆𐌀,veliza,mr-little-vel,,,1.000,clean
1754,v(e)l(ia) arntni(al) clanti(alisa) arntn(i)al(isasa),v(e)l(ia) arntni(al) clanti(alisa) arntn(i)al(isasa),𐌅(𐌄)𐌋(𐌉𐌀) 𐌀𐌓𐌍𐌕𐌍𐌉(𐌀𐌋) 𐌂𐌋𐌀𐌍𐌕𐌉(𐌀𐌋𐌉𐌔𐌀) 𐌀𐌓𐌍𐌕𐌍(𐌉)𐌀𐌋(𐌉𐌔𐌀𐌔𐌀),,,,,0.000,clean
1759,arntni(al),arntni(al),𐌀𐌓𐌍𐌕𐌍𐌉(𐌀𐌋),,,,,0.000,clean
176,ca----s----ipneicice,ca----s----ipneicice,𐌂𐌀----𐌔----𐌉𐌐𐌍𐌄𐌉𐌂𐌉𐌂𐌄,,i--by-mr-larislausa--,,,0.000,clean
1767,l(ar)th arntni(alisa),l(ar)θ arntni(alisa),𐌋(𐌀𐌓)𐌈 𐌀𐌓𐌍𐌕𐌍𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
1770,larthi artnei(alisa) seiatial,larθi artnei(alisa) seiatial,𐌋𐌀𐌓𐌈𐌉 𐌀𐌓𐌕𐌍𐌄𐌉(𐌀𐌋𐌉𐌔𐌀) 𐌔𐌄𐌉𐌀𐌕𐌉𐌀𐌋,larθi seiatial,mrs-larthimrs-artneisdaughters-husbandmrs-seiatis,,,0.667,clean
178,caias,caias,𐌂𐌀𐌉𐌀𐌔,caias,,,,1.000,clean
1789,neiatina,neiatina,𐌍𐌄𐌉𐌀𐌕𐌉𐌍𐌀,neiatina,mrs-pumpneis,,,1.000,clean
179,arntvetearntha,arntvetearnθa,𐌀𐌓𐌍𐌕𐌅𐌄𐌕𐌄𐌀𐌓𐌍𐌈𐌀,arntvetearnθa,mr-arntvete,,,1.000,clean
1791,cesuthui,cesuθui,𐌂𐌄𐌔𐌖𐌈𐌖𐌉,cesuθui,mr-larthauclina,,,1.000,clean
1796,ipenal,ipenal,𐌉𐌐𐌄𐌍𐌀𐌋,ipenal,ms-aulni,,,1.000,clean
1802,vetanal,vetanal,𐌅𐌄𐌕𐌀𐌍𐌀𐌋,vetanal,,,,1.000,clean
1937,renthn(as),renθn(as),𐌓𐌄𐌍𐌈𐌍(𐌀𐌔),,,,,0.000,clean
1806,ariodantes in (succursale),ariodantes in (succursale),𐌀𐌓𐌉𐌏𐌃𐌀𐌍𐌕𐌄𐌔 𐌉𐌍 (𐌔𐌖𐌂𐌂𐌖𐌓𐌔𐌀𐌋𐌄),ariodantes in,,,,0.667,clean
1813,afun{ }ei(al),afun{ }ei(al),𐌀𐌚𐌖𐌍{ }𐌄𐌉(𐌀𐌋),,,,,0.000,clean
1815,fastiaafuneitiscusnisa,fastiaafuneitiscusnisa,𐌚𐌀𐌔𐌕𐌉𐌀𐌀𐌚𐌖𐌍𐌄𐌉𐌕𐌉𐌔𐌂𐌖𐌔𐌍𐌉𐌔𐌀,fastiaafuneitiscusnisa,,,,1.000,clean
1816,afunei(al) cupsnasa,afunei(al) cupsnasa,𐌀𐌚𐌖𐌍𐌄𐌉(𐌀𐌋) 𐌂𐌖𐌐𐌔𐌍𐌀𐌔𐌀,cupsnasa,,,,0.500,clean
1826,v(e)l(ia) pethn(i)al,v(e)l(ia) peθn(i)al,𐌅(𐌄)𐌋(𐌉𐌀) 𐌐𐌄𐌈𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1846,arnth(i)al vipin(i)alisa,arnθ(i)al vipin(i)alisa,𐌀𐌓𐌍𐌈(𐌉)𐌀𐌋 𐌅𐌉𐌐𐌉𐌍(𐌉)𐌀𐌋𐌉𐌔𐌀,,,,,0.000,clean
1850,arnth(us) arnth(i)al,arnθ(us) arnθ(i)al,𐌀𐌓𐌍𐌈(𐌖𐌔) 𐌀𐌓𐌍𐌈(𐌉)𐌀𐌋,,,,,0.000,clean
1858,l(vc(i)i) l(vc(i)i),l(vc(i)i) l(vc(i)i),𐌋(𐌅𐌂(𐌉)𐌉) 𐌋(𐌅𐌂(𐌉)𐌉),,,,,0.000,clean
1860,c(a(i)i),c(a(i)i),𐌂(𐌀(𐌉)𐌉),,primigenea,,,0.000,clean
1875,pi{}stia(s),pi{}stia(s),𐌐𐌉{}𐌔𐌕𐌉𐌀(𐌔),,,,,0.000,clean
1886,thania urinatesa,θania urinatesa,𐌈𐌀𐌍𐌉𐌀 𐌖𐌓𐌉𐌍𐌀𐌕𐌄𐌔𐌀,θania urinatesa,,,,1.000,clean
1887,th(an)a canznasa,θ(an)a canznasa,𐌈(𐌀𐌍)𐌀 𐌂𐌀𐌍𐌆𐌍𐌀𐌔𐌀,canznasa,,,,0.500,clean
1888,v(e)l(ia) canzna,v(e)l(ia) canzna,𐌅(𐌄)𐌋(𐌉𐌀) 𐌂𐌀𐌍𐌆𐌍𐌀,canzna,,,,0.500,clean
1897,veti(e)sa,veti(e)sa,𐌅𐌄𐌕𐌉(𐌄)𐌔𐌀,,,,,0.000,clean
1900,fulunias(a),fulunias(a),𐌚𐌖𐌋𐌖𐌍𐌉𐌀𐌔(𐌀),,,,,0.000,clean
1924,arnth pestiu(s),arnθ pestiu(s),𐌀𐌓𐌍𐌈 𐌐𐌄𐌔𐌕𐌉𐌖(𐌔),arnθ,,,,0.500,clean
1932,calisni(al) sethresa,calisni(al) seθresa,𐌂𐌀𐌋𐌉𐌔𐌍𐌉(𐌀𐌋) 𐌔𐌄𐌈𐌓𐌄𐌔𐌀,seθresa,,,,0.500,clean
1933,kalisni(e)s,kalisni(e)s,𐌊𐌀𐌋𐌉𐌔𐌍𐌉(𐌄)𐌔,,,,,0.000,clean
1936,calisni(al) sapusa,calisni(al) sapusa,𐌂𐌀𐌋𐌉𐌔𐌍𐌉(𐌀𐌋) 𐌔𐌀𐌐𐌖𐌔𐌀,sapusa,mr-arnthmrs-calisnismr-sapus-daughters-husband,,,0.500,clean
1938,repias{--},repias{--},𐌓𐌄𐌐𐌉𐌀𐌔{--},,,,,0.000,clean
1961,tumu(s),tumu(s),𐌕𐌖𐌌𐌖(𐌔),,mr-tumus,,,0.000,clean
1962,lethias,leθias,𐌋𐌄𐌈𐌉𐌀𐌔,leθias,,,,1.000,clean
1963,pethe carsna(s) fupie(sa),peθe carsna(s) fupie(sa),𐌐𐌄𐌈𐌄 𐌂𐌀𐌓𐌔𐌍𐌀(𐌔) 𐌚𐌖𐌐𐌉𐌄(𐌔𐌀),peθe,,,,0.333,clean
1964,venusa,venusa,𐌅𐌄𐌍𐌖𐌔𐌀,venusa,mrs-carpnatis,,,1.000,clean
1967,harispex,harispex,𐌇𐌀𐌓𐌉𐌔𐌐𐌄𐌗,harispex,inspector-of-entrails,,,1.000,clean
1971,l(ar)th causlini(al) l(ar)th(us),l(ar)θ causlini(al) l(ar)θ(us),𐌋(𐌀𐌓)𐌈 𐌂𐌀𐌖𐌔𐌋𐌉𐌍𐌉(𐌀𐌋) 𐌋(𐌀𐌓)𐌈(𐌖𐌔),,mr-larthmrs-causlinismr-larths,,,0.000,clean
1975,ceicnei,ceicnei,𐌂𐌄𐌉𐌂𐌍𐌄𐌉,ceicnei,,,,1.000,clean
1976,sapinias,sapinias,𐌔𐌀𐌐𐌉𐌍𐌉𐌀𐌔,sapinias,mr-arnthceina,,,1.000,clean
1977,l(ar)th cele,l(ar)θ cele,𐌋(𐌀𐌓)𐌈 𐌂𐌄𐌋𐌄,cele,,,,0.500,clean
198,larthiasrutznei,larθiasrutznei,𐌋𐌀𐌓𐌈𐌉𐌀𐌔𐌓𐌖𐌕𐌆𐌍𐌄𐌉,larθiasrutznei,of-mr-larthiamrs-rutznei,,,1.000,clean
1993,v(e)l(ia) cencna a(rn)th(us),v(e)l(ia) cencna a(rn)θ(us),𐌅(𐌄)𐌋(𐌉𐌀) 𐌂𐌄𐌍𐌂𐌍𐌀 𐌀(𐌓𐌍)𐌈(𐌖𐌔),cencna,,,,0.333,clean
20043,zivi,zivi,𐌆𐌉𐌅𐌉,zivi,,,,1.000,clean
2005,ucumzn(i)al,ucumzn(i)al,𐌖𐌂𐌖𐌌𐌆𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
2009,ticlavdi,ticlavdi,𐌕𐌉𐌂𐌋𐌀𐌅𐌃𐌉,ticlavdi,mr-aprilisslave,,,1.000,clean
20126,arnza,arnza,𐌀𐌓𐌍𐌆𐌀,arnza,,,,1.000,clean
20139,lart,lart,𐌋𐌀𐌓𐌕,lart,,,,1.000,clean
20147,upsidedown),upsidedovn),𐌖𐌐𐌔𐌉𐌃𐌄𐌃𐌏𐌅𐌍),,mr-chaes,,,0.000,clean
2016,calpurn(i)al,calpurn(i)al,𐌂𐌀𐌋𐌐𐌖𐌓𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
20189,acevzfthilmnpsrstufch,acevzfθilmnpsrstufχ,𐌀𐌂𐌄𐌅𐌆𐌚𐌈𐌉𐌋𐌌𐌍𐌐𐌔𐌓𐌔𐌕𐌖𐌚𐌙,acevzfθilmnpsrstufχ,acevzfthilmnpsrstufch,,,1.000,clean
20197,felia,felia,𐌚𐌄𐌋𐌉𐌀,felia,,,,1.000,clean
2022,v(e)l(ia) culni(al),v(e)l(ia) culni(al),𐌅(𐌄)𐌋(𐌉𐌀) 𐌂𐌖𐌋𐌍𐌉(𐌀𐌋),,,,,0.000,clean
20236,kepriu,kepriu,𐌊𐌄𐌐𐌓𐌉𐌖,kepriu,,,,1.000,clean
20247,v(velus),v(velus),𐌅(𐌅𐌄𐌋𐌖𐌔),,,,,0.000,clean
20264,larzasilunis,larzasilunis,𐌋𐌀𐌓𐌆𐌀𐌔𐌉𐌋𐌖𐌍𐌉𐌔,larzasilunis,,,,1.000,clean
20265,a(u)l(e),a(u)l(e),𐌀(𐌖)𐌋(𐌄),,,,,0.000,clean
20277,tetialu,tetialu,𐌕𐌄𐌕𐌉𐌀𐌋𐌖,tetialu,,,,1.000,clean
20279,uchus,uχus,𐌖𐌙𐌖𐌔,uχus,,,,1.000,clean
20285,s(ethras),s(eθras),𐌔(𐌄𐌈𐌓𐌀𐌔),,,,,0.000,clean
20287,kr(aikes),kr(aikes),𐌊𐌓(𐌀𐌉𐌊𐌄𐌔),,,,,0.000,clean
20385,miverkantus,miverkantus,𐌌𐌉𐌅𐌄𐌓𐌊𐌀𐌍𐌕𐌖𐌔,miverkantus,,,,1.000,clean
20407,kusia,kusia,𐌊𐌖𐌔𐌉𐌀,kusia,,,,1.000,clean
20408,kemne,kemne,𐌊𐌄𐌌𐌍𐌄,kemne,,,,1.000,clean
20457,meista,meista,𐌌𐌄𐌉𐌔𐌕𐌀,meista,,,,1.000,clean
20474,ttitinai,ttitinai,𐌕𐌕𐌉𐌕𐌉𐌍𐌀𐌉,ttitinai,,,,1.000,clean
